 ,PARTNERNR,last_name,first_name,TEL_PORTAL_MOBIL,EMAIL_PORTAL,GEB_D,GESCHLECHT,SPRACHE,STRASSE,HAUSNUMMER,PLZ,ORT,LAND,ZAHLUNGSPROFIL,ZAHLUNGSMITTEL_INKASSO ,ZAHLUNGSADRESSETYP_INKASSO,BANK_INKASSO,ZAHLUNGSMITTEL_EXKASSO,ZAHLUNGSADRESSETYP_EXKASSO,BANK_EXKASSO,GRUNDVERSICHERUNG_MODELL,PRODUKT,PRODUKT_PORTFOLIO,GESETZ,PRODUKTEPRÄMIE,GESAMTPRÄMIE,HAUSARZT,FRANCHISE
11078312,11078312,Recci,Rahmatullah,,,9/24/1923,m,DE,Weidstrasse,2,8706,Meilen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana PREMED-24,"HOSPITAL COMFORT BONUS,TOP,","Helsana PREMED-24,HOSPITAL COMFORT BONUS,TOP,","KVGO,VVG,VVG,","495.05,614.5,35.45,",1145,  ,300
11122148,11122148,Jaja,Osman,,,4/14/1930,m,DE,Ober Hamberg,1,8495,Schmidrüti,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana PREMED-24,"HOSPITAL PLUS BONUS,TOP,","Helsana PREMED-24,HOSPITAL PLUS BONUS,TOP,","KVGO,VVG,VVG,","339.15,248.75,33.7,",621.6,  ,2500
11122148,11122149,Favre,Hélène Françoise,,,10/21/1939,w,DE,Ober Hamberg,1,8495,Schmidrüti,CH,,,,,,,,Helsana PREMED-24,"HOSPITAL PLUS BONUS,TOP,","Helsana PREMED-24,HOSPITAL PLUS BONUS,TOP,","KVGO,VVG,VVG,","339.15,248.75,38.35,",626.25,  ,2500
11185017,11185017,Ligory,Donald Regan,41984831430,Donald.Ligory@mymail.com,5/26/1938,m,DE,Balgristweg,27,8053,Zürich,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"CURA,HOSPITAL COMFORT BONUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,CURA,HOSPITAL COMFORT BONUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","584.65,88.8,670.75,14.3,23.8,35.45,",1417.75,  ,300
11279276,11279276,Kohler,Charlotte,41985663802,Charlotte.Kohler@mymail.com,3/29/1991,w,FR,Place du Marché,1,1260,Nyon,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","522.85,23,2.45,9.8,9.95,31.35,22.45,",621.85,H222822 Henke Ralph,300
11532011,11532011,Silvetti,Irmgard,,,5/27/1981,w,DE,Mirabellenweg,2,8590,Romanshorn,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,PREVEA Unfall,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,PREVEA Unfall,TOP,","KVGO,VVG,VVG,VVG,VVG,","456.55,22.4,5.45,9.95,16.6,",510.95,U110220 Schneider Eric,300
11532011,100509807,Giussani,Lucciano,,,5/26/2019,m,DE,Mirabellenweg,2,8590,Romanshorn,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Krankheit,PREVEA Unfall,PRIMEO,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","110.05,25.4,13.05,0,4.3,4.5,5.45,",162.75,T564620 Weissofner Arnold,0
20004574,20004574,Rexhepi,Ejup,41987751413,Ejup.Rexhepi@mymail.com,8/8/1992,m,DE,Nordringstrasse,22,4702,Oensingen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana PREMED-24,"HOSPITAL ECO,SANA,TOP,","Helsana PREMED-24,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","402.65,4.5,23.8,14.85,",445.8,  ,1500
20030227,20030227,Annen,Gerhard,,,8/27/1952,m,DE,Hinter Stauffen,283,3615,Heimenschwand,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"TOP,","TOP,","VVG,","35.45,",35.45,  ,
20127082,20127082,Rosales,Sofia,,,1/7/1971,w,FR,Route d'Annecy,238,1257,La Croix-de-Rozon,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale Vaudoise,Helsana BASIS Standard,"HOSPITAL PLUS BONUS,Helsana Advocare PLUS,SANA,TOP,","Helsana BASIS Standard,HOSPITAL PLUS BONUS,Helsana Advocare PLUS,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","659.05,211.05,9.8,29.8,20.4,",930.1,  ,500
20127082,60560513,Recupero,Susanna,,,1/29/2006,w,FR,Route d'Annecy,238,1257,La Croix-de-Rozon,CH,,,,,,,,Helsana PREMED-24,"HOSPITAL PLUS,Helsana Advocare PLUS,SANA,TOP,","Helsana PREMED-24,HOSPITAL PLUS,Helsana Advocare PLUS,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","150.05,39.4,0,13.05,14,",216.5,  ,0
20181275,20181275,Morier Perreten,Codoni,41982299954,Codoni.Morier_Perreten@mymail.com,10/31/1998,w,DE,Winkelriedstrasse,10,3014,Bern,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","2.45,9.8,9.95,31.35,16.55,",70.1,  ,
20181275,20181275,Morier Perreten,Codoni,41982299954,Codoni.Morier_Perreten@mymail.com,10/31/1998,w,DE,Winkelriedstrasse,10,3014,Bern,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Basler Kantonalbank ,,"HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","2.45,9.8,9.95,31.35,16.55,",70.1,  ,
20188810,20188810,Yalcin,Ersin,,,3/8/1961,m,DE,Müliweg,17,8180,Bülach,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"SANA,TOP,","SANA,TOP,","VVG,VVG,","22.6,21.35,",43.95,  ,
20188810,20188811,Habtemariam,Ervina,,,1/29/1958,w,DE,Müliweg,17,8180,Bülach,CH,,,,,,,,,"SANA,TOP,","SANA,TOP,","VVG,VVG,","29.8,29.4,",59.2,  ,
33694011,33694011,M'Barek,Fabiana,,,7/9/1948,w,DE,Sägen,303,9630,Wattwil,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,,"Helsana BASIS Standard,CURA,HOSPITAL PLUS BONUS,WORLD,","KVGO,VVG,VVG,VVG,","501.65,69.55,414.65,7.9,",993.75,  ,300
34461398,34461398,Salathé Marti,Katrin,41985256733,Katrin.Salathe_Marti@mymail.com,6/19/1970,w,DE,Oberzelg,14,8627,Grüningen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Standard,,"Helsana BASIS Standard,HOSPITAL ECO,PREVEA Unfall,WORLD,","KVGO,VVG,VVG,VVG,","434.75,5,17,7.9,",464.65,  ,1000
35202833,35202833,Schwarzmann,Ishtara,,,3/29/1942,w,DE,Blumenweg,38,4600,Olten,CH,Standardzahler,CH-DD (Swiss Direct Debit),Bankverbindung,PostFinance AG,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,,"HOSPITAL ECO,SANA,","HOSPITAL ECO,SANA,","VVG,VVG,","15.85,31.35,",47.2,  ,
36181023,36181023,Barros Gomes,Carla Filipa,41986886602,Carla_Filipa.Barros_Gomes@mymail.com,2/29/1968,w,DE,Industriestrasse,16,5106,Veltheim AG,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL Halbprivat,SANA,TOP,","Helsana BASIS Standard,HOSPITAL Halbprivat,SANA,TOP,","KVGO,VVG,VVG,VVG,","487.55,125.45,31.35,24.45,",668.8,  ,300
36181023,36181023,Barros Gomes,Carla Filipa,41986886602,Carla_Filipa.Barros_Gomes@mymail.com,2/29/1968,w,DE,Industriestrasse,16,5106,Veltheim AG,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL Halbprivat,SANA,TOP,","Helsana BASIS Standard,HOSPITAL Halbprivat,SANA,TOP,","KVGO,VVG,VVG,VVG,","487.55,125.45,31.35,24.45,",668.8,  ,300
36393829,36393829,Blonde,Jerome,,,3/30/1943,m,DE,Obstgartenstrasse,7,9326,Horn,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"HOSPITAL COMFORT BONUS,","HOSPITAL COMFORT BONUS,","VVG,","472,",472,  ,0
36559131,36559131,Uger,Jeff,,,5/14/1966,m,DE,Gattikerweg,1,8136,Gattikon,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BASIS Standard,"WORLD,","Helsana BASIS Standard,WORLD,","KVGO,VVG,","500.65,7.9,",508.55,  ,300
36567983,36567983,Meier Hämmerli,Bacilia,41984364469,Bacilia.Meier_Haemmerli@mymail.com,12/19/1969,w,DE,Florastrasse,2A,8610,Uster,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"PRESANA,WORLD,","Helsana BeneFit PLUS Hausarzt,PRESANA,WORLD,","KVGO,VVG,VVG,","451.55,5,7.1,",463.65,K335131 Quellenpraxis AG ,300
36567983,50046569,Pralong,German,,,8/11/2002,m,DE,Florastrasse,2A,8610,Uster,CH,,,,,,,,Helsana BASIS Standard,"DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","418.25,18.1,1.65,4.9,11.6,11.25,11.45,",477.2,  ,500
36567983,50060655,Meier Hämmerli,Michaël,,,2/15/2004,m,DE,Florastrasse,2A,8610,Uster,CH,,,,,,,,Helsana BASIS Standard,"HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","429.85,1.65,4.9,7.85,11.25,13.25,",468.75,  ,300
60017960,60017960,De Marco,Fernanda,41986981544,Fernanda.DeMarco@mymail.com,11/30/1958,w,DE,Matzwilstrasse,12B,3036,Detligen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"CURA,HOSPITAL ECO,SANA,","CURA,HOSPITAL ECO,SANA,","VVG,VVG,VVG,","32.85,6.25,31.35,",70.45,  ,
60187956,60187956,Veli,David,,,2/16/2003,m,IT,Nucleo Albumo,1,6958,Corticiasca,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","485.15,",485.15,  ,300
60254179,60254179,Wanke-Pénicaut,Caroline,,,4/17/1938,w,FR,Rue Saint-Martin,8,2610,St-Imier,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale du Valais,,"HOSPITAL ECO,TOP,VARIA,","HOSPITAL ECO,TOP,VARIA,","VVG,VVG,VVG,","8.8,40.35,31.2,",80.35,  ,
60308297,60308297,Gerbovci-Haziri,Mostafa,41985573410,Mostafa.Gerbovci-Haziri@mymail.com,4/16/1942,m,DE,Gewerbestrasse,5,8214,Gächlingen,CH,Standardzahler,CH-DD (Swiss Direct Debit),Bankverbindung,PostFinance AG,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale du Valais,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL ECO,","KVGO,VVG,VVG,VVG,","329.15,85.65,28.3,15.05,",458.15,P038514 Hausärztezentrum Neunkirch AG ,2500
60308297,60308298,Gerbovci-Haziri,Leonora,41984417136,Leonora.Gerbovci-Haziri@mymail.com,2/10/1943,w,DE,Gewerbestrasse,5,8214,Gächlingen,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL ECO,","KVGO,VVG,VVG,","457.45,93.9,15.05,",566.4,P038514 Hausärztezentrum Neunkirch AG ,300
60327595,60327595,Nagara,Mohamed,,,10/15/1961,m,DE,Trottacherstrasse,7,8103,Unterengstringen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BASIS Standard,"HOSPITAL ECO,SANA,TOP,","Helsana BASIS Standard,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","497.05,6.55,22.6,21.35,",547.55,  ,500
60327595,60327596,Nagara,Sofia,,,12/18/1962,w,DE,Trottacherstrasse,7,8103,Unterengstringen,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,HOSPITAL ECO,","Helsana BASIS Standard,COMPLETA,HOSPITAL ECO,","KVGO,VVG,VVG,","497.05,76.55,6.55,",580.15,  ,500
60408577,60408577,Slezak,Berzija,41983313472,Berzija.Slezak@mymail.com,6/7/2004,w,FR,Untere Aegerten,5,8143,Stallikon,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","338.75,",338.75,P141222 Reinhardt Owlya Laurence,300
60440838,60440838,Weitz,Clemens,41988570222,Clemens.Weitz@mymail.com,6/23/1996,m,DE,Bahnhofplatz,1A,3110,Münsingen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","403.35,2.35,22.6,13.2,",441.5,  ,1000
60447877,60447877,Stutzer,Cleyve Juvenal,,,9/27/1963,m,FR,Rue Simon-Durand,13B,1227,Les Acacias,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,"Helsana SALARIA KVG, Helsana BeneFit PLUS Hausarzt","SANA,TOP,","Helsana SALARIA KVG,Helsana BeneFit PLUS Hausarzt,SANA,TOP,","KVGF,KVGO,VVG,VVG,","5,569.25,23.8,22.45,",620.5,D048725 Rizzi Buchs Cristina,300
60660627,60660627,Nicastro,Francesco,41983487191,Francesco.Nicastro@mymail.com,6/27/1981,m,DE,Bürlimattweg,4,5033,Buchs AG,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"TOP,","Helsana BASIS Standard,TOP,","KVGO,VVG,","422.45,14.9,",437.35,  ,1500
60660627,61305903,Nicastro,Barbara,,,7/14/1984,w,DE,Bürlimattweg,4,5033,Buchs AG,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,HOSPITAL ECO,","Helsana BASIS Standard,COMPLETA,HOSPITAL ECO,","KVGO,VVG,VVG,","422.45,52.45,3.3,",478.2,  ,1500
60731527,60731527,Beytrison,Enyo Naveen,41981014249,EnyoNaveen.Beytrison@mymail.com,7/30/1989,m,DE,Recherswilstrasse,81,4566,Halten,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL Halbprivat,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL Halbprivat,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","355.05,19.3,38.8,11.6,23.8,14.85,",463.4,D030411 Carnelli-Maeder Andrea Bruno,2000
60731527,60731527,Beytrison,Enyo Naveen,41981014249,EnyoNaveen.Beytrison@mymail.com,7/30/1989,m,DE,Recherswilstrasse,81,4566,Halten,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL Halbprivat,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL Halbprivat,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","355.05,19.3,38.8,11.6,23.8,14.85,",463.4,D030411 Carnelli-Maeder Andrea Bruno,2000
60774133,60774133,Paredes Ocana,Felix,,,5/19/1967,m,FR,Rue du Belvédère,4,1203,Genève,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,Zürcher Kantonalbank,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,","518.25,4.2,19.05,",541.5,Z606325 Pétri Daidié Isabelle,500
60774133,60774134,Paredes Ocana,Jsabella,,,2/29/1968,w,FR,Rue du Belvédère,4,1203,Genève,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,","557.65,4.2,22,",583.85,B702725 Foulex-Vaillant Aurélie,500
60774133,60774138,Paredes Ocana,Michael,,,10/16/1999,m,FR,Rue du Belvédère,4,1203,Genève,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,VVG,","442.65,18.1,1.5,11.45,",473.7,Z606325 Pétri Daidié Isabelle,500
60781509,60781509,Vionnet,Tijana,41983823408,Tijana.Vionnet@mymail.com,8/22/1993,w,FR,Route des Morillons,11,1218,Le Grand-Saconnex,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"SANA,","Helsana BeneFit PLUS Hausarzt,SANA,","KVGO,VVG,","560.55,31.35,",591.9,G440225 Magellan.ch SA ,300
60786546,60786546,Valadares,Gabriel,,,9/11/1976,m,DE,Badstubenweg,19,79539,Lörrach,DE,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Ausland,,"Helsana BASIS Ausland,","KVGO,","316.2,",316.2,  ,300
60796412,60796412,Fernandes Marinho,Diogo André,41987698139,Diogo.Fernandes_Marinho@mymail.com,8/11/1986,m,DE,Wintele,608A,3066,Stettlen,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Hausarzt,"HOSPITAL Halbprivat,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL Halbprivat,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","348.05,38.35,9.8,11.6,23.8,15.25,",446.85,G486702 Bahnhofpraxis Wichtrach AG ,2500
60861099,60848695,Spaccio,Amalia,,,5/25/2008,w,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,,,,,,,,,"DENTAplus,TOP,","DENTAplus,TOP,","VVG,VVG,","34.65,15.75,",50.4,  ,
60861099,61112663,Spaccio,Melissa,,,8/5/2012,w,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,,,,,,,,,"HOSPITAL Privat,Helsana Advocare PLUS,TOP,","HOSPITAL Privat,Helsana Advocare PLUS,TOP,","VVG,VVG,VVG,","15.8,0,16.7,",32.5,  ,0
60870003,60505902,Chaves Lameirao,Davis,41987754940,Davis.Chaves_Lameirao@mymail.com,9/5/1947,m,DE,Lyssstrasse,9,3270,Aarberg,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana PREMED-24,"CURA,HOSPITAL ECO,TOP,","Helsana PREMED-24,CURA,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,VVG,","514.45,26.8,7.9,28.35,",577.5,  ,300
60870003,60870003,Tagarroso Marques,Leslie,41986768624,Leslie.Tagarroso_Marques@mymail.com,5/22/1956,w,DE,Lyssstrasse,9,3270,Aarberg,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL Privat,PREVEA Unfall,PRIMEO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL Privat,PREVEA Unfall,PRIMEO,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","329.65,62.25,222.85,16.9,42.65,25.05,24.75,",724.1,P395302 Pewsner Daniel,2500
60870003,60870003,Tagarroso Marques,Leslie,41986768624,Leslie.Tagarroso_Marques@mymail.com,5/22/1956,w,DE,Lyssstrasse,9,3270,Aarberg,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL Privat,PREVEA Unfall,PRIMEO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL Privat,PREVEA Unfall,PRIMEO,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","329.65,62.25,222.85,16.9,42.65,25.05,24.75,",724.1,P395302 Pewsner Daniel,2500
60870003,60870005,Comte,Jérôme,,,7/19/1990,m,DE,Lyssstrasse,9,3270,Aarberg,CH,,,,,,,,,"DENTAplus,HOSPITAL FLEX,Helsana Advocare PLUS,PREVEA Unfall,PRIMEO,SANA,TOP,","DENTAplus,HOSPITAL FLEX,Helsana Advocare PLUS,PREVEA Unfall,PRIMEO,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,VVG,VVG,","17.35,21.3,9.8,11.6,13.4,19,11.85,",104.3,  ,
61055669,61055669,Müller,Sophie,41987610061,Sophie.Mueller@mymail.com,6/19/1977,w,DE,Untere Lettenstrasse,6,8134,Adliswil,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","419.65,",419.65,Y019131 mediX praxis am bad ,300
61055669,61411881,Müller,Cornelia,,,7/12/2015,w,EN,Untere Lettenstrasse,6,8134,Adliswil,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,Helsana Advocare EXTRA,","Helsana BeneFit PLUS Hausarzt,COMPLETA,Helsana Advocare EXTRA,","KVGO,VVG,VVG,","117.05,26.8,0,",143.85,E369631 Arcus Praxiszentrum AG ,0
61077389,61077389,Leleu,Jaqueline,41981565307,Jaqueline.Leleu@mymail.com,12/29/1983,w,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,H+,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Schaffhauser Kantonalbank,Helsana BeneFit PLUS Hausarzt,"COMPLETA,COMPLETA EXTRA,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,COMPLETA EXTRA,HOSPITAL ECO,","KVGO,VVG,VVG,VVG,","368.25,28.55,11.4,1.6,",409.8,D717922 Fierz Yvonne Carmen,2500
61077389,61077389,Leleu,Jaqueline,41981565307,Jaqueline.Leleu@mymail.com,12/29/1983,w,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"COMPLETA,COMPLETA EXTRA,HOSPITAL ECO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,COMPLETA EXTRA,HOSPITAL ECO,","KVGO,VVG,VVG,VVG,","368.25,28.55,11.4,1.6,",409.8,D717922 Fierz Yvonne Carmen,2500
61077389,100173453,Leleu,Thierry,,,3/7/1971,m,FR,Avenue d'Yverdon,3,1004,Lausanne,CH,,,,,,,,Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","462.25,",462.25,  ,2500
